País,Latitud promedio,Longitud promedio
Colombia,4.6097,-74.0820
Ucrania,48.3794,31.1656
Venezuela,6.4238,-66.5897
Marruecos,31.7917,-7.0926
Perú,-9.1900,-75.0152
Argentina,-34.6037,-58.3816
Honduras,14.8268,-86.4350
Italia,41.9036,12.4539
Rumanía,45.9432,24.9668
Paraguay,-23.4425,-58.4438
Brasil,-10.7812,-53.0659
Reino Unido,51.5098,-0.1180
Alemania,51.1657,10.4515
Nicaragua,12.8654,-85.2072
Ecuador,-1.8312,-78.1834
Cuba,21.5218,-77.7812
Francia,46.2276,2.2137
Rusia,61.5240,105.3188
Pakistán,30.3753,69.3451